person_income,person_emp_length,loan_percent_income,loan_int_rate,loan_amnt,D,E,F,G,cb_person_default_on_file,Other,Rent,Own,loan_status
51000.0,3.0,0.25,12.84,12800.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
58000.0,5.0,0.11,7.51,6400.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
9600.0,3.0,0.14,12.73,1300.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0
14400.0,0.0,0.14,14.79,2000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0
78000.0,0.0,0.25,15.31,19500.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
35000.0,2.0,0.29,9.99,10225.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
47500.0,2.0,0.16,10.99,7500.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
42000.0,1.0,0.29,10.99,12000.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
120000.0,9.0,0.15,9.63,18400.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
73000.0,9.0,0.19,11.99,13600.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
85000.0,2.0,0.29,12.84,25000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
70000.0,5.0,0.14,12.53,9700.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
80000.0,8.0,0.07,8.49,5550.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
53000.0,11.0,0.1,11.03,5500.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
40000.0,3.0,0.06,9.99,2500.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
45500.0,6.0,0.22,10.65,10000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
40000.0,19.0,0.3,10.59,12000.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
30000.0,6.0,0.08,7.29,2500.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0
30996.0,1.0,0.08,14.74,2600.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0
20292.0,3.0,0.19,12.53,3900.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
84456.0,5.0,0.12,9.88,10000.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
42000.0,3.0,0.24,13.8,10000.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0
100000.0,13.0,0.12,7.88,12000.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0
61650.0,4.0,0.11,6.03,6500.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
