person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
37.0,51000.0,Mortgage,3.0,Debtconsolidation,C,12800.0,12.84,0.0,0.25,N,12
33.0,58000.0,Rent,5.0,Medical,A,6400.0,7.51,0.0,0.11,N,8
24.0,9600.0,Rent,3.0,Education,C,1300.0,12.73,1.0,0.14,N,2
33.0,14400.0,Own,0.0,Venture,C,2000.0,14.79,0.0,0.14,N,8
24.0,78000.0,Mortgage,0.0,Debtconsolidation,D,19500.0,15.31,1.0,0.25,N,4
31.0,35000.0,Mortgage,2.0,Debtconsolidation,B,10225.0,9.99,0.0,0.29,N,6
21.0,47500.0,Rent,2.0,Education,B,7500.0,10.99,0.0,0.16,N,3
31.0,42000.0,Rent,1.0,Medical,B,12000.0,10.99,0.0,0.29,N,9
30.0,120000.0,Mortgage,9.0,Debtconsolidation,B,18400.0,9.63,0.0,0.15,N,9
25.0,73000.0,Rent,9.0,Personal,B,13600.0,11.99,0.0,0.19,N,2
30.0,85000.0,Mortgage,2.0,Education,C,25000.0,12.84,0.0,0.29,Y,8
21.0,70000.0,Rent,5.0,Medical,B,9700.0,12.53,0.0,0.14,N,4
24.0,80000.0,Mortgage,8.0,Homeimprovement,A,5550.0,8.49,0.0,0.07,N,2
28.0,53000.0,Rent,11.0,Homeimprovement,C,5500.0,11.03,0.0,0.1,N,9
25.0,40000.0,Rent,3.0,Medical,B,2500.0,9.99,0.0,0.06,N,3
29.0,45500.0,Mortgage,6.0,Homeimprovement,B,10000.0,10.65,0.0,0.22,N,10
38.0,40000.0,Rent,19.0,Venture,B,12000.0,10.59,0.0,0.3,N,11
22.0,30000.0,Own,6.0,Education,A,2500.0,7.29,0.0,0.08,N,3
27.0,30996.0,Rent,1.0,Homeimprovement,D,2600.0,14.74,1.0,0.08,N,5
28.0,20292.0,Rent,3.0,Venture,B,3900.0,12.53,0.0,0.19,N,9
32.0,84456.0,Rent,5.0,Debtconsolidation,B,10000.0,9.88,0.0,0.12,N,10
25.0,42000.0,Rent,3.0,Education,C,10000.0,13.8,1.0,0.24,N,2
30.0,100000.0,Rent,13.0,Debtconsolidation,A,12000.0,7.88,0.0,0.12,N,9
24.0,61650.0,Mortgage,4.0,Homeimprovement,A,6500.0,6.03,0.0,0.11,N,4
24.0,70000.0,Rent,8.0,Venture,A,7125.0,6.92,0.0,0.1,N,2
30.0,52000.0,Rent,3.0,Debtconsolidation,A,12000.0,7.91,0.0,0.23,N,9
37.0,65000.0,Rent,7.0,Homeimprovement,C,12000.0,13.98,0.0,0.18,N,12
23.0,96000.0,Mortgage,4.0,Education,B,20000.0,10.99,0.0,0.21,N,3
21.0,31000.0,Mortgage,5.0,Education,A,7500.0,5.42,0.0,0.24,N,4
29.0,39000.0,Mortgage,6.0,Medical,A,7100.0,8.32,0.0,0.18,N,5
27.0,60000.0,Rent,8.0,Medical,A,7000.0,6.99,0.0,0.12,N,8
38.0,34000.0,Rent,19.0,Medical,A,6000.0,7.9,0.0,0.18,N,11
23.0,75000.0,Rent,2.0,Medical,A,8000.0,7.9,0.0,0.11,N,4
23.0,80000.0,Rent,1.0,Medical,A,12000.0,6.62,0.0,0.15,N,4
26.0,52000.0,Mortgage,6.0,Personal,B,3300.0,10.99,0.0,0.06,N,2
25.0,42000.0,Rent,3.0,Venture,A,18000.0,6.17,1.0,0.43,N,2
25.0,28000.0,Rent,8.0,Education,B,2400.0,11.49,0.0,0.09,N,3
30.0,98000.0,Mortgage,8.0,Venture,A,3500.0,7.68,0.0,0.04,N,10
25.0,123144.0,Rent,2.0,Medical,B,12000.0,10.75,0.0,0.1,N,2
25.0,47000.0,Rent,3.0,Medical,B,12000.0,10.37,0.0,0.26,N,2
60.0,45600.0,Rent,1.0,Venture,B,20000.0,10.0,1.0,0.44,N,26
22.0,40000.0,Rent,1.0,Personal,C,8500.0,14.35,0.0,0.21,Y,2
32.0,45000.0,Mortgage,2.0,Personal,C,8000.0,14.65,0.0,0.18,N,8
32.0,45000.0,Mortgage,7.0,Education,A,4000.0,7.49,0.0,0.09,N,5
30.0,64600.0,Rent,0.0,Medical,A,21500.0,6.91,1.0,0.28,N,10
23.0,46000.0,Rent,7.0,Homeimprovement,C,10000.0,13.43,1.0,0.22,N,4
